Date,Invoice #,Starting Milage,Ending Milage,Gas Price,Gallons,Cost,MPG,Mi. Driven,Station
6/15/25,3073,119410,119669,3.849,10.684,41.12,24.24,259,Costco
6/24/25,26233,119669,119943,3.799,10.635,40.40,25.76,274,Costco
7/3/25,39212,119943,120163,3.639,9.772,35.56,22.51,220,Costco
7/21/25,49433,120163,120394,3.459,10.828,37.45,21.33,231,Costco
8/1/25,13494,120394,120671,3.519,11.784,41.47,23.51,277,Costco
8/11/25,56888,120671,120905,3.449,10.830,37.35,21.61,234,Costco
8/20/25,16068,120905,121132,3.559,10.765,38.31,21.09,227,Costco
9/3/25,57934,121132,121426,3.769,12.887,48.57,22.81,294,Costco
9/14/25,16446,121426,121686,4.079,11.311,46.14,22.99,260,Costco
9/24/25,42538,121686,121940,3.999,11.135,44.53,22.81,254,Costco
